Calgary United F.C.|league=Canadian Major Indoor Soccer League
Edmonton Drillers|league=Canadian Major Indoor Soccer League
Winnipeg Alliance FC|league=Canadian Major Indoor Soccer League
Chicago Fire|league=Major League Soccer
Columbus Crew|league=Major League Soccer
D.C. United|league=Major League Soccer
Houston Dynamo|league=Major League Soccer
Montreal Impact|league=Major League Soccer
New England Revolution|league=Major League Soccer
New York Red Bulls|league=Major League Soccer
Philadelphia Union|league=Major League Soccer
Sporting Kansas City|league=Major League Soccer
Toronto FC|league=Major League Soccer
CD Chivas USA|league=Major League Soccer
Colorado Rapids|league=Major League Soccer
FC Dallas|league=Major League Soccer
Los Angeles Galaxy|league=Major League Soccer
Portland Timbers|league=Major League Soccer
Real Salt Lake|league=Major League Soccer
San Jose Earthquakes|league=Major League Soccer
Seattle Sounders FC|league=Major League Soccer
Vancouver Whitecaps FC|league=Major League Soccer
Baltimore Blast|league=Major Indoor Soccer League
Chicago Soul|league=Major Indoor Soccer League
Milwaukee Wave|league=Major Indoor Soccer League
Missouri Comets|league=Major Indoor Soccer League
Rochester Lancers|league=Major Indoor Soccer League
Syracuse Silver Knights|league=Major Indoor Soccer League
Boston Breakers|league=National Women's Soccer League
Chicago Red Stars|league=National Women's Soccer League
FC Kansas City|league=National Women's Soccer League
Portland Thorns FC|league=National Women's Soccer League
Seattle Reign FC|league=National Women's Soccer League
Sky Blue FC|league=National Women's Soccer League
Washington Spirit|league=National Women's Soccer League
Western New York Flash|league=National Women's Soccer League
Atlanta Silverbacks|league=North American Soccer League
Carolina RailHawks FC|league=North American Soccer League
FC Edmonton|league=North American Soccer League
Fort Lauderdale Strikers|league=North American Soccer League
Minnesota United FC|league=North American Soccer League
New York Cosmos|league=North American Soccer League
Puerto Rico Islanders (on hiatus)|league=North American Soccer League
San Antonio Scorpions|league=North American Soccer League
Tampa Bay Rowdies|league=North American Soccer League
Cincinnati Kings|league=Professional Arena Soccer League
Detroit Waza|league=Professional Arena Soccer League
Louisville Lightning|league=Professional Arena Soccer League
Ohio Vortex|league=Professional Arena Soccer League
California Cougars|league=Professional Arena Soccer League
Tacoma Stars|league=Professional Arena Soccer League
San Diego Sockers|league=Professional Arena Soccer League
Illinois Piasa|league=Professional Arena Soccer League
Kitsap Pumas|league=Professional Arena Soccer League
Springfield Demize|league=Professional Arena Soccer League
Wenatchee Fire|league=Professional Arena Soccer League
Charleston Battery|league=USL Pro (soccer)
Charlotte Eagles|league=USL Pro (soccer)
Orlando City|league=USL Pro (soccer)
Richmond Kickers|league=USL Pro (soccer)
Wilmington Hammerheads|league=USL Pro (soccer)
Dayton Dutch Lions|league=USL Pro (soccer)
F.C. New York|league=USL Pro (soccer)
Harrisburg City Islanders|league=USL Pro (soccer)
Pittsburgh Riverhounds|league=USL Pro (soccer)
Rochester Rhinos|league=USL Pro (soccer)
Antigua Barracuda|league=USL Pro (soccer)
Los Angeles Blues|league=USL Pro (soccer)
Boston Celtics|league=National Basketball Association
Brooklyn Nets|league=National Basketball Association
New York Knicks|league=National Basketball Association
Philadelphia 76ers|league=National Basketball Association
Toronto Raptors|league=National Basketball Association
Chicago Bulls|league=National Basketball Association
Cleveland Cavaliers|league=National Basketball Association
Detroit Pistons|league=National Basketball Association
Indiana Pacers|league=National Basketball Association
Milwaukee Bucks|league=National Basketball Association
Atlanta Hawks|league=National Basketball Association
Charlotte Bobcats|league=National Basketball Association
Miami Heat|league=National Basketball Association
Orlando Magic|league=National Basketball Association
Washington Wizards|league=National Basketball Association
Denver Nuggets|league=National Basketball Association
Minnesota Timberwolves|league=National Basketball Association
Oklahoma City Thunder|league=National Basketball Association
Portland Trail Blazers|league=National Basketball Association
Utah Jazz|league=National Basketball Association
Golden State Warriors|league=National Basketball Association
Los Angeles Clippers|league=National Basketball Association
Los Angeles Lakers|league=National Basketball Association
Phoenix Suns|league=National Basketball Association
Sacramento Kings|league=National Basketball Association
Dallas Mavericks|league=National Basketball Association
Houston Rockets|league=National Basketball Association
Memphis Grizzlies|league=National Basketball Association
New Orleans Pelicans|league=National Basketball Association
San Antonio Spurs|league=National Basketball Association
Atlanta Dream|league=Women's National Basketball Association
Chicago Sky|league=Women's National Basketball Association
Connecticut Sun|league=Women's National Basketball Association
Indiana Fever|league=Women's National Basketball Association
New York Liberty|league=Women's National Basketball Association
Washington Mystics|league=Women's National Basketball Association
Los Angeles Sparks|league=Women's National Basketball Association
Minnesota Lynx|league=Women's National Basketball Association
Phoenix Mercury|league=Women's National Basketball Association
San Antonio Silver Stars|league=Women's National Basketball Association
Seattle Storm|league=Women's National Basketball Association
Tulsa Shock|league=Women's National Basketball Association
Hamilton Tiger-Cats|league=Canadian Football League
Montreal Alouettes|league=Canadian Football League
Toronto Argonauts|league=Canadian Football League
Winnipeg Blue Bombers|league=Canadian Football League
